trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Du,17,Ja,46,soundFiles/Dutch/lp300/common_voice_nl_17694507.wav,soundFiles/Japanese/lp300/common_voice_ja_22621011.wav,508187,Fri Jul 16 2021 00:52:39 GMT-0700 (Mountain Standard Time),3465.5,2
2,trial,Ta,29,Sp,45,soundFiles/Tamil/lp300/common_voice_ta_19523147.wav,soundFiles/Spanish/lp300/common_voice_es_18438511.wav,517443,Fri Jul 16 2021 00:52:48 GMT-0700 (Mountain Standard Time),1228.3000000007448,6
3,trial,Du,1,En,6,soundFiles/Dutch/lp300/common_voice_nl_17691034.wav,soundFiles/English/lp300/common_voice_en_18430.wav,526865,Fri Jul 16 2021 00:52:57 GMT-0700 (Mountain Standard Time),3084.0,6
4,trial,En,33,Ja,48,soundFiles/English/lp300/common_voice_en_26602.wav,soundFiles/Japanese/lp300/common_voice_ja_23555409.wav,541031,Fri Jul 16 2021 00:53:12 GMT-0700 (Mountain Standard Time),1432.8000000007448,2
5,trial,En,44,It,9,soundFiles/English/lp300/common_voice_en_34810.wav,soundFiles/Italian/lp300/common_voice_it_17416256.wav,556380,Fri Jul 16 2021 00:53:27 GMT-0700 (Mountain Standard Time),1729.0999999996275,7
6,trial,Sp,42,It,13,soundFiles/Spanish/lp300/common_voice_es_18413601.wav,soundFiles/Italian/lp300/common_voice_it_17416611.wav,565580,Fri Jul 16 2021 00:53:36 GMT-0700 (Mountain Standard Time),1993.3000000007448,7
7,trial,Du,25,Du,31,soundFiles/Dutch/lp300/common_voice_nl_17694858.wav,soundFiles/Dutch/lp300/common_voice_nl_17695130.wav,571732,Fri Jul 16 2021 00:53:42 GMT-0700 (Mountain Standard Time),916.2000000011176,7
8,trial,En,21,En,11,soundFiles/English/lp300/common_voice_en_24015.wav,soundFiles/English/lp300/common_voice_en_21000.wav,580881,Fri Jul 16 2021 00:53:51 GMT-0700 (Mountain Standard Time),1136.9000000003725,7
9,trial,It,46,Sp,18,soundFiles/Italian/lp300/common_voice_it_17437423.wav,soundFiles/Spanish/lp300/common_voice_es_18326665.wav,591724,Fri Jul 16 2021 00:54:02 GMT-0700 (Mountain Standard Time),1487.89999999851,3
10,trial,En,34,Sp,1,soundFiles/English/lp300/common_voice_en_26746.wav,soundFiles/Spanish/lp300/common_voice_es_18311034.wav,601330,Fri Jul 16 2021 00:54:12 GMT-0700 (Mountain Standard Time),1213.0,6
11,trial,Sp,40,Du,9,soundFiles/Spanish/lp300/common_voice_es_18389274.wav,soundFiles/Dutch/lp300/common_voice_nl_17694132.wav,611886,Fri Jul 16 2021 00:54:22 GMT-0700 (Mountain Standard Time),2227.7999999988824,7
12,trial,Du,42,Ta,26,soundFiles/Dutch/lp300/common_voice_nl_17695621.wav,soundFiles/Tamil/lp300/common_voice_ta_19422364.wav,618972,Fri Jul 16 2021 00:54:29 GMT-0700 (Mountain Standard Time),1409.4000000003725,6
13,trial,Du,11,Ja,24,soundFiles/Dutch/lp300/common_voice_nl_17694241.wav,soundFiles/Japanese/lp300/common_voice_ja_20468758.wav,626551,Fri Jul 16 2021 00:54:37 GMT-0700 (Mountain Standard Time),779.4000000003724,6
14,trial,En,27,Ta,34,soundFiles/English/lp300/common_voice_en_25412.wav,soundFiles/Tamil/lp300/common_voice_ta_19535832.wav,635195,Fri Jul 16 2021 00:54:46 GMT-0700 (Mountain Standard Time),1580.7000000011176,3
15,trial,Ge,20,It,37,soundFiles/German/lp300/common_voice_de_17812707.wav,soundFiles/Italian/lp300/common_voice_it_17429633.wav,644556,Fri Jul 16 2021 00:54:55 GMT-0700 (Mountain Standard Time),1610.3000000007448,6
16,trial,Ja,11,It,24,soundFiles/Japanese/lp300/common_voice_ja_19779352.wav,soundFiles/Italian/lp300/common_voice_it_17420755.wav,652838,Fri Jul 16 2021 00:55:03 GMT-0700 (Mountain Standard Time),1781.0,5
17,trial,En,13,Du,48,soundFiles/English/lp300/common_voice_en_22307.wav,soundFiles/Dutch/lp300/common_voice_nl_17696067.wav,662436,Fri Jul 16 2021 00:55:13 GMT-0700 (Mountain Standard Time),2025.7000000011176,4
18,trial,Ta,40,Sp,33,soundFiles/Tamil/lp300/common_voice_ta_19692758.wav,soundFiles/Spanish/lp300/common_voice_es_18354712.wav,673834,Fri Jul 16 2021 00:55:24 GMT-0700 (Mountain Standard Time),2382.0,3
19,trial,It,22,Ta,47,soundFiles/Italian/lp300/common_voice_it_17420554.wav,soundFiles/Tamil/lp300/common_voice_ta_20056543.wav,686498,Fri Jul 16 2021 00:55:37 GMT-0700 (Mountain Standard Time),1209.6999999992552,3
20,trial,En,10,Ja,15,soundFiles/English/lp300/common_voice_en_20897.wav,soundFiles/Japanese/lp300/common_voice_ja_20068885.wav,704135,Fri Jul 16 2021 00:55:55 GMT-0700 (Mountain Standard Time),1005.89999999851,1
21,trial,En,35,It,36,soundFiles/English/lp300/common_voice_en_26957.wav,soundFiles/Italian/lp300/common_voice_it_17429617.wav,714318,Fri Jul 16 2021 00:56:05 GMT-0700 (Mountain Standard Time),554.1999999992548,1
22,trial,Ta,19,Ja,42,soundFiles/Tamil/lp300/common_voice_ta_19310457.wav,soundFiles/Japanese/lp300/common_voice_ja_22342435.wav,724220,Fri Jul 16 2021 00:56:15 GMT-0700 (Mountain Standard Time),611.3999999985099,1
23,trial,Ta,36,Ta,33,soundFiles/Tamil/lp300/common_voice_ta_19605511.wav,soundFiles/Tamil/lp300/common_voice_ta_19533352.wav,738181,Fri Jul 16 2021 00:56:29 GMT-0700 (Mountain Standard Time),2776.699999999255,7
24,trial,Ta,46,Ge,29,soundFiles/Tamil/lp300/common_voice_ta_19969967.wav,soundFiles/German/lp300/common_voice_de_18200525.wav,749249,Fri Jul 16 2021 00:56:40 GMT-0700 (Mountain Standard Time),2435.400000002235,5
25,trial,Du,33,Sp,46,soundFiles/Dutch/lp300/common_voice_nl_17695254.wav,soundFiles/Spanish/lp300/common_voice_es_18453794.wav,759502,Fri Jul 16 2021 00:56:50 GMT-0700 (Mountain Standard Time),591.8000000007452,1
26,trial,Ge,46,En,25,soundFiles/German/lp300/common_voice_de_18341643.wav,soundFiles/English/lp300/common_voice_en_25282.wav,770697,Fri Jul 16 2021 00:57:01 GMT-0700 (Mountain Standard Time),4263.0,5
27,trial,En,45,Du,15,soundFiles/English/lp300/common_voice_en_34985.wav,soundFiles/Dutch/lp300/common_voice_nl_17694437.wav,781979,Fri Jul 16 2021 00:57:12 GMT-0700 (Mountain Standard Time),1761.89999999851,1
28,trial,Ja,47,Sp,38,soundFiles/Japanese/lp300/common_voice_ja_23240625.wav,soundFiles/Spanish/lp300/common_voice_es_18381892.wav,799885,Fri Jul 16 2021 00:57:30 GMT-0700 (Mountain Standard Time),3342.300000000745,6
29,trial,Sp,37,Sp,5,soundFiles/Spanish/lp300/common_voice_es_18376956.wav,soundFiles/Spanish/lp300/common_voice_es_18311729.wav,811505,Fri Jul 16 2021 00:57:42 GMT-0700 (Mountain Standard Time),1463.3000000007448,6
30,trial,Du,44,Du,10,soundFiles/Dutch/lp300/common_voice_nl_17695706.wav,soundFiles/Dutch/lp300/common_voice_nl_17694192.wav,820186,Fri Jul 16 2021 00:57:51 GMT-0700 (Mountain Standard Time),1821.8000000007448,2
31,trial,Ja,43,Sp,23,soundFiles/Japanese/lp300/common_voice_ja_22376326.wav,soundFiles/Spanish/lp300/common_voice_es_18338572.wav,829433,Fri Jul 16 2021 00:58:00 GMT-0700 (Mountain Standard Time),1065.8000000007448,3
32,trial,Ta,3,Sp,14,soundFiles/Tamil/lp300/common_voice_ta_19093453.wav,soundFiles/Spanish/lp300/common_voice_es_18324374.wav,840695,Fri Jul 16 2021 00:58:11 GMT-0700 (Mountain Standard Time),2968.8999999985103,7
33,trial,It,26,Ja,39,soundFiles/Italian/lp300/common_voice_it_17421440.wav,soundFiles/Japanese/lp300/common_voice_ja_22240589.wav,849549,Fri Jul 16 2021 00:58:20 GMT-0700 (Mountain Standard Time),2246.300000000745,2
34,trial,Ge,34,Sp,26,soundFiles/German/lp300/common_voice_de_18262407.wav,soundFiles/Spanish/lp300/common_voice_es_18342814.wav,863904,Fri Jul 16 2021 00:58:34 GMT-0700 (Mountain Standard Time),4400.89999999851,4
35,trial,En,29,Sp,21,soundFiles/English/lp300/common_voice_en_25674.wav,soundFiles/Spanish/lp300/common_voice_es_18337501.wav,878437,Fri Jul 16 2021 00:58:49 GMT-0700 (Mountain Standard Time),1486.10000000149,2
36,trial,En,23,Ja,16,soundFiles/English/lp300/common_voice_en_25009.wav,soundFiles/Japanese/lp300/common_voice_ja_20073039.wav,889868,Fri Jul 16 2021 00:59:00 GMT-0700 (Mountain Standard Time),733.2999999970198,7
37,trial,Du,21,En,47,soundFiles/Dutch/lp300/common_voice_nl_17694711.wav,soundFiles/English/lp300/common_voice_en_35328.wav,898028,Fri Jul 16 2021 00:59:09 GMT-0700 (Mountain Standard Time),1443.5,6
38,trial,It,30,Ta,32,soundFiles/Italian/lp300/common_voice_it_17426051.wav,soundFiles/Tamil/lp300/common_voice_ta_19533166.wav,918690,Fri Jul 16 2021 00:59:29 GMT-0700 (Mountain Standard Time),5131.599999997765,5
39,trial,Du,18,Ta,28,soundFiles/Dutch/lp300/common_voice_nl_17694569.wav,soundFiles/Tamil/lp300/common_voice_ta_19523086.wav,931650,Fri Jul 16 2021 00:59:42 GMT-0700 (Mountain Standard Time),5476.5,3
40,trial,En,38,En,5,soundFiles/English/lp300/common_voice_en_33478.wav,soundFiles/English/lp300/common_voice_en_180002.wav,979287,Fri Jul 16 2021 01:00:30 GMT-0700 (Mountain Standard Time),1837.10000000149,7
41,trial,Sp,43,Sp,25,soundFiles/Spanish/lp300/common_voice_es_18424433.wav,soundFiles/Spanish/lp300/common_voice_es_18342228.wav,991277,Fri Jul 16 2021 01:00:42 GMT-0700 (Mountain Standard Time),1970.5999999977648,7
42,trial,Ja,30,Ge,47,soundFiles/Japanese/lp300/common_voice_ja_21560575.wav,soundFiles/German/lp300/common_voice_de_18344291.wav,1003459,Fri Jul 16 2021 01:00:54 GMT-0700 (Mountain Standard Time),5401.10000000149,6
43,trial,En,3,En,22,soundFiles/English/lp300/common_voice_en_14785.wav,soundFiles/English/lp300/common_voice_en_24296.wav,1014459,Fri Jul 16 2021 01:01:05 GMT-0700 (Mountain Standard Time),4585.800000000745,5
44,trial,Du,23,En,12,soundFiles/Dutch/lp300/common_voice_nl_17694780.wav,soundFiles/English/lp300/common_voice_en_21029.wav,1022540,Fri Jul 16 2021 01:01:13 GMT-0700 (Mountain Standard Time),827.1999999992549,2
45,trial,Ja,33,Ja,45,soundFiles/Japanese/lp300/common_voice_ja_21595327.wav,soundFiles/Japanese/lp300/common_voice_ja_22482087.wav,1032026,Fri Jul 16 2021 01:01:23 GMT-0700 (Mountain Standard Time),3653.5,6
46,trial,Sp,4,It,42,soundFiles/Spanish/lp300/common_voice_es_18311468.wav,soundFiles/Italian/lp300/common_voice_it_17435389.wav,1042944,Fri Jul 16 2021 01:01:33 GMT-0700 (Mountain Standard Time),1018.1999999992547,1
47,trial,It,20,Du,30,soundFiles/Italian/lp300/common_voice_it_17420149.wav,soundFiles/Dutch/lp300/common_voice_nl_17695071.wav,1053737,Fri Jul 16 2021 01:01:44 GMT-0700 (Mountain Standard Time),2874.0,3
48,trial,Ge,48,En,32,soundFiles/German/lp300/common_voice_de_18345073.wav,soundFiles/English/lp300/common_voice_en_26013.wav,1064524,Fri Jul 16 2021 01:01:55 GMT-0700 (Mountain Standard Time),1407.39999999851,1
49,trial,En,42,It,33,soundFiles/English/lp300/common_voice_en_34328.wav,soundFiles/Italian/lp300/common_voice_it_17429496.wav,1078398,Fri Jul 16 2021 01:02:09 GMT-0700 (Mountain Standard Time),918.5,1
50,trial,Du,20,Du,7,soundFiles/Dutch/lp300/common_voice_nl_17694695.wav,soundFiles/Dutch/lp300/common_voice_nl_17694052.wav,1089203,Fri Jul 16 2021 01:02:20 GMT-0700 (Mountain Standard Time),2710.099999997765,2
51,trial,Du,6,Ja,2,soundFiles/Dutch/lp300/common_voice_nl_17694005.wav,soundFiles/Japanese/lp300/common_voice_ja_19485592.wav,1100666,Fri Jul 16 2021 01:02:31 GMT-0700 (Mountain Standard Time),5648.0,7
52,trial,It,32,It,39,soundFiles/Italian/lp300/common_voice_it_17429468.wav,soundFiles/Italian/lp300/common_voice_it_17433572.wav,1117118,Fri Jul 16 2021 01:02:48 GMT-0700 (Mountain Standard Time),7575.400000002235,4
53,trial,Ta,25,Du,28,soundFiles/Tamil/lp300/common_voice_ta_19385685.wav,soundFiles/Dutch/lp300/common_voice_nl_17694995.wav,1126669,Fri Jul 16 2021 01:02:57 GMT-0700 (Mountain Standard Time),1981.8999999985094,4
54,trial,En,36,Ja,13,soundFiles/English/lp300/common_voice_en_27414.wav,soundFiles/Japanese/lp300/common_voice_ja_19780254.wav,1136512,Fri Jul 16 2021 01:03:07 GMT-0700 (Mountain Standard Time),2476.1000000014897,7
55,trial,It,6,Ge,21,soundFiles/Italian/lp300/common_voice_it_17416011.wav,soundFiles/German/lp300/common_voice_de_17827912.wav,1148164,Fri Jul 16 2021 01:03:19 GMT-0700 (Mountain Standard Time),1286.3000000007448,6
56,trial,Ta,45,Ja,10,soundFiles/Tamil/lp300/common_voice_ta_19820023.wav,soundFiles/Japanese/lp300/common_voice_ja_19763931.wav,1160182,Fri Jul 16 2021 01:03:31 GMT-0700 (Mountain Standard Time),1743.39999999851,6
57,trial,Ge,1,Ja,21,soundFiles/German/lp300/common_voice_de_17304060.wav,soundFiles/Japanese/lp300/common_voice_ja_20074565.wav,1170773,Fri Jul 16 2021 01:03:41 GMT-0700 (Mountain Standard Time),1715.5999999977648,2
58,trial,Du,46,Ja,9,soundFiles/Dutch/lp300/common_voice_nl_17695875.wav,soundFiles/Japanese/lp300/common_voice_ja_19712330.wav,1178882,Fri Jul 16 2021 01:03:49 GMT-0700 (Mountain Standard Time),1230.0,6
59,trial,En,43,Ge,18,soundFiles/English/lp300/common_voice_en_34446.wav,soundFiles/German/lp300/common_voice_de_17693468.wav,1188420,Fri Jul 16 2021 01:03:59 GMT-0700 (Mountain Standard Time),1626.0,7
60,trial,Ja,29,Ja,26,soundFiles/Japanese/lp300/common_voice_ja_21461702.wav,soundFiles/Japanese/lp300/common_voice_ja_20841639.wav,1216568,Fri Jul 16 2021 01:04:27 GMT-0700 (Mountain Standard Time),2191.300000000745,5
61,trial,It,18,Du,37,soundFiles/Italian/lp300/common_voice_it_17419421.wav,soundFiles/Dutch/lp300/common_voice_nl_17695410.wav,1225783,Fri Jul 16 2021 01:04:36 GMT-0700 (Mountain Standard Time),2051.199999999255,6
62,trial,Ge,2,Sp,47,soundFiles/German/lp300/common_voice_de_17322711.wav,soundFiles/Spanish/lp300/common_voice_es_18461812.wav,1242912,Fri Jul 16 2021 01:04:53 GMT-0700 (Mountain Standard Time),6456.899999998511,5
63,trial,Du,14,Sp,35,soundFiles/Dutch/lp300/common_voice_nl_17694387.wav,soundFiles/Spanish/lp300/common_voice_es_18369836.wav,1254265,Fri Jul 16 2021 01:05:05 GMT-0700 (Mountain Standard Time),3989.0,6
64,trial,En,18,En,26,soundFiles/English/lp300/common_voice_en_22984.wav,soundFiles/English/lp300/common_voice_en_25381.wav,1266933,Fri Jul 16 2021 01:05:17 GMT-0700 (Mountain Standard Time),2596.300000000745,6
65,trial,Ge,28,Du,2,soundFiles/German/lp300/common_voice_de_18186262.wav,soundFiles/Dutch/lp300/common_voice_nl_17691514.wav,1279011,Fri Jul 16 2021 01:05:30 GMT-0700 (Mountain Standard Time),4720.299999997021,4
66,trial,Du,38,Ta,4,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,soundFiles/Tamil/lp300/common_voice_ta_19093464.wav,1291271,Fri Jul 16 2021 01:05:42 GMT-0700 (Mountain Standard Time),5656.699999999255,6
67,trial,Ge,45,Ge,11,soundFiles/German/lp300/common_voice_de_18339255.wav,soundFiles/German/lp300/common_voice_de_17556480.wav,1305822,Fri Jul 16 2021 01:05:56 GMT-0700 (Mountain Standard Time),2087.8999999985103,6
68,trial,Sp,48,En,31,soundFiles/Spanish/lp300/common_voice_es_18465243.wav,soundFiles/English/lp300/common_voice_en_25848.wav,1325197,Fri Jul 16 2021 01:06:16 GMT-0700 (Mountain Standard Time),9265.199999999257,4
69,trial,Sp,2,En,9,soundFiles/Spanish/lp300/common_voice_es_18311218.wav,soundFiles/English/lp300/common_voice_en_20568.wav,1334256,Fri Jul 16 2021 01:06:25 GMT-0700 (Mountain Standard Time),541.4000000022352,1
70,trial,It,15,Ja,31,soundFiles/Italian/lp300/common_voice_it_17416767.wav,soundFiles/Japanese/lp300/common_voice_ja_21567400.wav,1345252,Fri Jul 16 2021 01:06:36 GMT-0700 (Mountain Standard Time),1072.5,1
71,trial,Sp,8,It,35,soundFiles/Spanish/lp300/common_voice_es_18318093.wav,soundFiles/Italian/lp300/common_voice_it_17429586.wav,1359021,Fri Jul 16 2021 01:06:50 GMT-0700 (Mountain Standard Time),2338.5,1
72,trial,Ta,6,En,46,soundFiles/Tamil/lp300/common_voice_ta_19159402.wav,soundFiles/English/lp300/common_voice_en_35165.wav,1368991,Fri Jul 16 2021 01:06:59 GMT-0700 (Mountain Standard Time),809.5,1
73,trial,Ta,31,Ta,23,soundFiles/Tamil/lp300/common_voice_ta_19528797.wav,soundFiles/Tamil/lp300/common_voice_ta_19346692.wav,1382097,Fri Jul 16 2021 01:07:13 GMT-0700 (Mountain Standard Time),4980.0,6
74,trial,Ta,9,Ge,13,soundFiles/Tamil/lp300/common_voice_ta_19171568.wav,soundFiles/German/lp300/common_voice_de_17631604.wav,1396817,Fri Jul 16 2021 01:07:27 GMT-0700 (Mountain Standard Time),5967.300000000745,1
75,trial,Ja,8,Du,22,soundFiles/Japanese/lp300/common_voice_ja_19620105.wav,soundFiles/Dutch/lp300/common_voice_nl_17694749.wav,1408315,Fri Jul 16 2021 01:07:39 GMT-0700 (Mountain Standard Time),3135.0,2
76,trial,Ta,44,Ta,2,soundFiles/Tamil/lp300/common_voice_ta_19819844.wav,soundFiles/Tamil/lp300/common_voice_ta_19083933.wav,1421786,Fri Jul 16 2021 01:07:52 GMT-0700 (Mountain Standard Time),5645.099999997765,6
77,trial,Ge,12,Ge,30,soundFiles/German/lp300/common_voice_de_17565482.wav,soundFiles/German/lp300/common_voice_de_18211540.wav,1438562,Fri Jul 16 2021 01:08:09 GMT-0700 (Mountain Standard Time),6576.800000000745,4
78,trial,Ja,22,Ge,38,soundFiles/Japanese/lp300/common_voice_ja_20074856.wav,soundFiles/German/lp300/common_voice_de_18305449.wav,1447885,Fri Jul 16 2021 01:08:18 GMT-0700 (Mountain Standard Time),1293.1000000014901,1
79,trial,Ta,35,Ja,6,soundFiles/Tamil/lp300/common_voice_ta_19568230.wav,soundFiles/Japanese/lp300/common_voice_ja_19534055.wav,1458186,Fri Jul 16 2021 01:08:29 GMT-0700 (Mountain Standard Time),2851.199999999255,6
80,trial,Ja,37,Sp,29,soundFiles/Japanese/lp300/common_voice_ja_21888240.wav,soundFiles/Spanish/lp300/common_voice_es_18344847.wav,1488010,Fri Jul 16 2021 01:08:59 GMT-0700 (Mountain Standard Time),2821.300000000745,1
81,trial,It,40,Ta,15,soundFiles/Italian/lp300/common_voice_it_17434159.wav,soundFiles/Tamil/lp300/common_voice_ta_19303060.wav,1507474,Fri Jul 16 2021 01:09:18 GMT-0700 (Mountain Standard Time),10253.400000002237,4
82,trial,Sp,19,Ja,1,soundFiles/Spanish/lp300/common_voice_es_18330680.wav,soundFiles/Japanese/lp300/common_voice_ja_19485250.wav,1516382,Fri Jul 16 2021 01:09:27 GMT-0700 (Mountain Standard Time),1005.39999999851,2
83,trial,Sp,3,Ta,22,soundFiles/Spanish/lp300/common_voice_es_18311427.wav,soundFiles/Tamil/lp300/common_voice_ta_19341526.wav,1523982,Fri Jul 16 2021 01:09:34 GMT-0700 (Mountain Standard Time),1237.1000000014901,2
84,trial,Ge,43,Ja,5,soundFiles/German/lp300/common_voice_de_18334335.wav,soundFiles/Japanese/lp300/common_voice_ja_19507538.wav,1537812,Fri Jul 16 2021 01:09:48 GMT-0700 (Mountain Standard Time),5165.0,6
